StockCode,MAE,RMSE,Naive_MAE,Improvement_Over_Naive
85123A,375.72451138922645,464.5847898252168,436.3076923076923,0.13885425809944574
22423,76.15560504084705,98.89031300438391,69.53846153846153,-0.09515803709182713
85099B,488.4838233940101,708.5126496361123,659.6153846153846,0.2594414339216174
84879,482.5192764419757,569.8781170939786,312.84615384615387,-0.5423532318037088
47566,109.03567932098741,144.30422112760562,121.0,0.09887868329762468
23166,72.31197694772378,124.87673156001712,83.76923076923077,0.1367716250501294
22086,395.616880555784,468.80896996809736,348.6923076923077,-0.13457300843264774
79321,185.0425121695648,245.2982896354856,262.6923076923077,0.29559219379082213
48138,84.2712021130256,168.0082799012483,116.6923076923077,0.27783412823379516
85099F,163.099997679254,240.9504838415787,309.84615384615387,0.4736097393668566
22386,230.14429435001077,380.7155197739931,284.15384615384613,0.19007151419866264
21137,230.0115996953936,302.78976138595493,246.6153846153846,0.06732663878973269
22502,4.458643793979791,4.510156524463982,0.6923076923076923,-5.440263257970809
21621,16.059875402443872,20.682747506997945,17.46153846153846,0.08027145272347862
84347,785.0333357407403,1088.6380251788762,254.53846153846155,-2.0841442625051747
82484,53.00221264570932,78.2511408322742,74.6923076923077,0.2903926216331399
22197,665.3191541146055,904.2098619840796,779.4615384615385,0.14643748115169536
85099C,149.56261524567938,191.3833431412868,200.30769230769232,0.25333563817441174
15056N,44.099280577974966,47.988226986884506,45.53846153846154,0.03160363595663085
22470,257.62296230874495,311.74032333458496,253.92307692307693,-0.014570890643345697
20685,30.00839283766485,36.68298327691654,32.15384615384615,0.0667246246659257
20725,117.13020321599122,128.60050858136537,99.46153846153847,-0.17764318778645455
21733,143.28762355819936,217.47631859043025,170.07692307692307,0.15751284203681964
22189,76.66157939683146,104.3796528369408,135.69230769230768,0.4350337119281128
21623,40.66072005897282,56.406277564983405,23.307692307692307,-0.7445193424641805
21931,89.88192201876213,104.72431504677641,129.92307692307693,0.3081912455631098
21843,28.012730459035968,52.47149470598973,33.46153846153846,0.1628379403046722
22178,310.9432772604524,453.9810961978596,467.2307692307692,0.33449743095392137
48194,79.99655016648506,153.5717895130907,119.76923076923077,0.33207761582253964
22469,280.2134180169177,395.7135914825345,322.53846153846155,0.13122479508229679
48187,71.38021644944014,158.55438069204376,113.53846153846153,0.3713124567461234
21181,320.5035777479685,456.7503144356326,424.0769230769231,0.24423244862623064
71477,196.62335566487926,249.51129954492893,210.3846153846154,0.06541000963677138
22112,87.74610669205079,112.56907174173763,84.46153846153847,-0.03888833059805115
21754,13.865500545339343,17.552066346070212,19.76923076923077,0.2986322681345858
22411,137.5046930971722,189.5856965592037,152.92307692307693,0.10082444151748562
15056BL,34.93344976193247,41.18094201599842,68.23076923076923,0.48801031915995247
22910,209.49074371527922,262.5866289020618,255.30769230769232,0.17945776791243453
21175,153.50477611749017,177.5861372531726,144.84615384615384,-0.05977806135282648
22139,43.05618851138744,61.12849804580391,43.15384615384615,0.0022630113225726874
20914,34.05130407740219,41.833825852953126,35.07692307692308,0.029239138144235812
22111,83.12933694753573,174.614700791147,122.15384615384616,0.31947016352773017
82494L,55.8427213791139,67.444802825338,74.61538461538461,0.25159239388816423
48185,56.75435292996501,146.51678976927596,95.46153846153847,0.40547414336056
21929,112.78108815318386,161.07697274016434,164.6153846153846,0.31488124019093916
21928,47.36601423319635,58.38162210342417,86.3076923076923,0.4511959135191153
22457,28.866743495334887,39.202592323311734,54.30769230769231,0.46845939739468334
21232,157.46752492593257,229.33983681425585,196.07692307692307,0.196909445258092
84946,128.82013982862466,162.852917107104,172.69230769230768,0.2540481880747792
82482,102.44945684127532,141.32133381859344,130.30769230769232,0.21378811160768652
